mount_count,iterations,successes,failures,success_rate,min_time,max_time,mean_time,median_time,std_time,q25_time,q75_time
0,5,5,0,100.0,0.258,0.28,0.26460000000000006,0.262,0.008820430828479987,0.26,0.263
100,5,5,0,100.0,0.652,0.666,0.6586000000000001,0.658,0.0058991524815010556,0.654,0.663
200,5,5,0,100.0,1.248,1.279,1.2576,1.253,0.012300406497347939,1.252,1.256
300,5,5,0,100.0,1.971,1.985,1.9768000000000001,1.976,0.0051185935568279,1.975,1.977
400,5,5,0,100.0,2.816,2.872,2.8364,2.837,0.022300224214119466,2.819,2.838
500,5,5,0,100.0,3.756,3.827,3.7763999999999998,3.766,0.028901557051480817,3.761,3.772
600,5,5,0,100.0,4.832,4.874,4.8506,4.848,0.016757088052522632,4.839,4.86
700,5,5,0,100.0,6.054,6.147,6.114800000000001,6.132,0.037332291652133975,6.105,6.136
800,5,5,0,100.0,7.584,7.668,7.634399999999999,7.657,0.037420582571627746,7.605,7.658
900,5,5,0,100.0,9.185,9.247,9.2098,9.207,0.02395203540411507,9.194,9.216
1000,5,5,0,100.0,10.831,10.921,10.888200000000001,10.905,0.037505999520076806,10.87,10.914
1100,5,5,0,100.0,12.763,13.043,12.8954,12.903,0.12209954954871831,12.784,12.984
1200,5,5,0,100.0,15.083,15.582,15.2914,15.293,0.2101744513493495,15.099,15.4
1300,5,5,0,100.0,17.278,17.496,17.366000000000003,17.35,0.08056053624449111,17.334,17.372
1400,5,5,0,100.0,21.333,21.674,21.5172,21.468,0.14819817812645333,21.446,21.665
1500,5,5,0,100.0,26.865,27.228,27.076600000000003,27.048,0.1479824313896762,27.034,27.208
1600,5,5,0,100.0,29.224,29.529,29.323,29.265,0.12400201611264221,29.25,29.347
1700,5,5,0,100.0,33.653,34.071,33.8176,33.744,0.18144227732256907,33.678,33.942
1800,5,5,0,100.0,40.894,41.736,41.3464,41.347,0.30368618671253383,41.305,41.45
1900,5,5,0,100.0,50.835,51.396,51.081199999999995,51.096,0.24567397094523524,50.842,51.237
2000,5,5,0,100.0,63.975,64.864,64.28020000000001,64.16,0.35782775185835125,64.041,64.361
2100,5,5,0,100.0,79.44,81.147,80.1222,79.643,0.7921165949530458,79.576,80.805
2200,5,0,5,0.0,90.064,90.181,90.1534,90.173,0.050082931224124015,90.173,90.176
